"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSGALG00000008288",7.49349083264198,-0.989812265815087,0.318330017942409,-3.10939028688824,0.00187473895579382,0.0305791357029699
"ENSGALG00000008285",149.791333555852,-0.645470151322243,0.205189245393563,-3.14573090848011,0.00165672357989315,0.028771851261904
"ENSGALG00000008280",789.224105132193,0.358801274825987,0.178404624540725,2.01116577414776,0.0443079495954862,0.18814595307383
"ENSGALG00000008249",1031.98177244784,0.390736700107319,0.219002381767229,1.78416644127013,0.0743966236060468,0.252948520260559
"ENSGALG00000008236",6806.53863502673,0.217654440731204,0.180268567680358,1.20738986020644,0.227282038667389,0.470726912499108
"ENSGALG00000008222",134.075158151574,-0.385064190507376,0.205154263540698,-1.87694949089366,0.0605250168351855,0.22411959689349
"ENSGALG00000008193",94.5109558924379,0.444777530983231,0.304200366191888,1.46212030100801,0.143708246543112,0.363495432402921
"ENSGALG00000008175",1211.80609958398,-0.448431140449012,0.165436412926683,-2.7105951617057,0.00671625730090403,0.0657679722315286
"ENSGALG00000008167",261.159066265179,0.127776877270021,0.176260155889145,0.724933418023203,0.468492878276068,0.69395361700942
"ENSGALG00000008154",577.242167253551,-0.450485544553818,0.16010613412615,-2.81366823958708,0.00489797486880317,0.0558190846777356
"ENSGALG00000008132",411.098684460626,-0.417011082653221,0.136595199414282,-3.05289705964307,0.00226643671430019,0.0348499429834617
"ENSGALG00000008123",96.925670378583,-0.236930991447693,0.249524832586967,-0.949528706186449,0.342351779148779,0.588418822692755
"ENSGALG00000027028",3.62334295504897,0.0509842194116557,0.357857325977068,0.142470799703351,0.886708142529411,0.94721708600597
"ENSGALG00000008115",37.0999207036424,-0.412106854263977,0.266956599580485,-1.54372229385447,0.12265562308667,0.333836558024116
"ENSGALG00000008109",10.728322104265,0.000815272375400665,0.340556443782226,0.00239394200369911,0.99808991246023,0.998976236865221
"ENSGALG00000029006",74.5097388158856,-0.482188603896296,0.25390435336563,-1.89909545663414,0.0575519263790285,0.217018321250596
"ENSGALG00000008098",123.598920576753,-0.163547456794652,0.157020052935577,-1.04157051113563,0.297610846452055,0.549897024649364
"ENSGALG00000008081",37.3990790830659,-0.374096206277167,0.324428789959168,-1.15309188905291,0.248872670437962,0.496395254773558
"ENSGALG00000008060",2.79076936900898,-0.0698638136592284,0.380230490226503,-0.183740692698291,0.854216884185404,0.933580613346449
"ENSGALG00000008050",292.213310647377,-0.151772955612443,0.303635304913682,-0.499852794310562,0.617178733304543,0.79991433615502
"ENSGALG00000008035",423.411466072336,-0.400492624734601,0.115785557037169,-3.4589169407894,0.000542352126409286,0.0143233757145008
"ENSGALG00000008032",13.565510219913,-0.0122597633139253,0.353314150349716,-0.0346993272185402,0.972319497407506,0.987768759061432
"ENSGALG00000023661",178.839749668146,-0.146781364163514,0.13325083983449,-1.10154175647846,0.270660941447317,0.519166009369079
"ENSGALG00000008009",417.559568734676,0.0904667100311403,0.191973745707279,0.471245220005675,0.637465629835963,0.813597000779202
"ENSGALG00000007998",4.12821567972622,0.613808033008848,0.383879903830218,1.59895849426992,0.109829825345472,0.313390369992106
"ENSGALG00000027723",1296.39158086285,0.144787019931031,0.214166147524822,0.676049980841395,0.499008912489764,0.718424662501671
"ENSGALG00000007959",2.3020347355977,0.562902130783702,0.378692060722795,1.4864376340748,0.13716340156478,NA
"ENSGALG00000007931",431.149762020187,-0.0297785302021573,0.13932347160411,-0.21373663647123,0.830752439687903,0.922499435714651
"ENSGALG00000007905",1643.71039822496,0.473107313603021,0.135628954014665,3.48824715961363,0.000486198417352663,0.0134312312793673
"ENSGALG00000007917",14.53684669908,0.319451818850812,0.309483038943025,1.03221107024745,0.30197325018457,0.553523716515325
"ENSGALG00000007183",1121.66835660919,0.2587188702813,0.142098954356566,1.82069510259803,0.0686532170550677,0.240860865667434
"ENSGALG00000007161",27.4130841313968,-0.0867090144489657,0.287928771390544,-0.301147447093275,0.763302061760847,0.884870161669568
"ENSGALG00000023625",0.0401789083904555,0.0491262615144683,0.096107392671841,0.511160069467394,0.609238976522481,NA
"ENSGALG00000028853",48.7905292985395,0.54331543441669,0.281891366496287,1.92739295697389,NA,NA
"ENSGALG00000027157",0.584380335451508,0.473327084978263,0.33622539275384,1.40776721562133,0.159200011135525,NA
"ENSGALG00000007142",130.888151111644,-0.0708013893084533,0.245763269627582,-0.288087757848203,0.773279563388269,0.890167905111754
"ENSGALG00000007098",603.898232102129,-0.46471031853105,0.189567199115345,-2.45142788783987,0.0142290694319401,0.0979177824297497
"ENSGALG00000007043",0.324314188414049,0.144063997305575,0.242129669518652,0.59498696542217,0.551852183893345,NA
"ENSGALG00000007025",69.2983900963319,-0.435668280151858,0.217163252239534,-2.0061786497437,0.0448371909188582,0.189432913584221
"ENSGALG00000027347",90.9143979384835,-0.168458118866216,0.178117226833748,-0.945771062466924,0.344265368129509,0.590084799024376
"ENSGALG00000013018",269.951596897442,0.0729124852601985,0.174165412315873,0.418639294052035,0.675479767668538,0.835895087987713
"ENSGALG00000004897",2719.28461235003,-0.181153182746123,0.210007859967577,-0.862601917728657,0.388356375614603,0.631685908783212
"ENSGALG00000004208",46.049605031075,-0.068706779834115,0.281806029703688,-0.243808764157241,0.807378932314105,0.91070168263896
"ENSGALG00000013399",107.855568872002,0.059140425033817,0.210821818140607,0.280523266308109,0.779076077818375,0.893454262620345
"ENSGALG00000027995",9.21803080839871,0.210003637307531,0.295841842915008,0.709851031342656,0.477796519593793,0.702229441451089
"ENSGALG00000013182",200.90135492222,0.19884581403311,0.163716434191935,1.21457454784283,0.224528401220564,0.467860900380288
"ENSGALG00000006986",0.263687321928979,0.26809424889543,0.211383391451256,1.2682843578903,0.20469642100505,NA
"ENSGALG00000019397",124.947467650216,-0.310275138023569,0.269085341043463,-1.15307335888451,0.248880275461394,0.496395254773558
"ENSGALG00000006975",190.642664692442,-0.443904045345377,0.167350760648577,-2.65253676544404,0.00798894270184298,0.0719276985718302
"ENSGALG00000023587",0.100913058739382,0.0780843873305158,0.171957213010752,0.454091956733641,0.649762642184799,NA
"ENSGALG00000023584",0.833875360922658,0.0488797535450423,0.310226202577969,0.15756165384759,0.874802221851054,NA
"ENSGALG00000028811",0.0610174295017665,0.0136831681763146,0.123736935690292,0.110582730208892,0.911947242780435,NA
"ENSGALG00000008526",685.230763338077,-0.387472942548546,0.189324917416017,-2.0466029925534,0.0406970807941395,0.179810583155918
"ENSGALG00000008547",1077.56008377855,-0.0784089904887644,0.112074030021092,-0.699617837192149,0.484166000045992,0.706869816906525
"ENSGALG00000027708",2.71552069410415,0.351233442958481,0.383596171211396,0.915633338699096,0.359859239225356,0.60440081729332
"ENSGALG00000008539",457.081075186842,-0.620974010213569,0.170630296301382,-3.63929515258387,0.000273385312179007,0.00951250071994345
"ENSGALG00000008551",140.751452331998,0.269974457898796,0.251598868635785,1.07303526189385,0.283255295289919,0.533980123108676
"ENSGALG00000023576",27.9720218552109,0.338926416327563,0.244129611242808,1.38830523098844,0.165044120027737,0.394549355140759
"ENSGALG00000008554",0.31702886693679,0.0330975563129966,0.263019569458832,0.12583685837938,0.899861064897724,NA
"ENSGALG00000008560",0.651180172983922,-0.0918743839674167,0.256036692932743,-0.358832880221393,0.719720113675952,NA
"ENSGALG00000008570",1.65812606090932,0.330941240405671,0.375807669436872,0.880613322505016,0.378527145281393,NA
"ENSGALG00000000003",135.714080099591,-0.744508250126985,0.270410215647473,-2.75325489587857,0.00590059352299323,0.0618081687710564
"ENSGALG00000008705",916.842070577557,0.17462189165222,0.122758946922165,1.42247792140917,0.154887556517729,0.380684468098086
"ENSGALG00000008694",120.846338453637,-0.110458325118523,0.18244705332342,-0.605426742205128,0.544895486775246,0.751040729429276
"ENSGALG00000008657",180.000648791763,-0.14511245801225,0.226107350819086,-0.641785671658051,0.521012354166064,0.733483667545698
"ENSGALG00000008641",226.948916652692,0.35104912251311,0.162098133639438,2.16565801611242,0.030337329498772,0.151096792214167
"ENSGALG00000008635",709.736882420563,-0.204865976193902,0.377209712912738,-0.543108963478081,0.587054781489513,0.781040896775147
"ENSGALG00000019384",132.823109116949,-0.386496856060766,0.188374258752191,-2.05174984427786,0.0401939799312777,0.178449624994915
"ENSGALG00000008612",190.51246069926,0.220840501015371,0.146040392230519,1.51218781079952,0.130486091016833,0.345015531076004
"ENSGALG00000013146",611.468058156188,-0.49725099147088,0.21025085741527,-2.36503668800147,0.0180282848880061,0.112761819629698
"ENSGALG00000025292",0.372723586554048,-0.307299090604858,0.309595012041397,-0.992584113608936,0.320912669816513,NA
"ENSGALG00000028694",185.238650824118,0.0315690882423359,0.170841435641999,0.184785898828955,0.853396968492476,0.933160299426478
"ENSGALG00000019382",0.239170051112152,-0.101818879908435,0.253939946837157,-0.400956529985132,0.688452128785358,NA
